"LAT","LONG","DENSITY","PLTYSIZE","AREA","MinTemp","CRR","MAT","Elevation","SOCIETY","SUB","SUB2","PROTEIN"
-6.37,145.738,18.4,218,11.8478260869565,10.6999998092651,2115,17.1499996185303,1894,"KAMANO(SOUTH)","HL","HORT","LIVESTOCK"
-3.596,142.794,18.5,245,13.2432432432432,20.5,1906,25.529167175293,255,"URAT","HL","HORT","LIVESTOCK"
-6.093,145.532,18.9,175,9.25925925925926,12.6999998092651,1960,19.1749992370605,1619,"BENA BENA","AL","AGG","LIVESTOCK"
-5.274,144.762,19.5,82.1,4.21025641025641,16.3999996185303,3563,22.1166667938232,834,"GAINJ","H-HL","HORT","LIVESTOCK"
-6.656,145.544,19.9,152,7.63819095477387,11.5,2210,17.966667175293,1828,"FORE (SOUTH)","HH","HORT","HUNTING"
-6.1,145.246,21,204,9.71428571428571,9.10000038146973,2158,15.3874998092651,2258,"SIANE","HL","HORT","LIVESTOCK"
-5.465,144.636,22.3,460,20.627802690583,12.3999996185303,2583,18.2749996185303,1674,"MARING(KAUW)","HL","HORT","LIVESTOCK"
-6.136,144.029,23,124,5.39130434782609,9,2939,15.5583333969116,2174,"IMBONGGU","AL","AGG","LIVESTOCK"
-5.964,144.029,23.2,319,13.75,9,2606,15.6708335876465,2185,"KAUGEL","AL","AGG","LIVESTOCK"
-3.644,142.876,24,165.3,6.8875,20.7000007629395,1896,25.9916667938232,193,"ARAPESH(BUMB)","SH-H","HORT","HUNTING"
-2.256,136.526,25.8,700,27.1317829457364,22.7000007629395,3506,26.8374996185303,20,"WAROPEN","SF","SAGO-FISH","FISHING"
-6.14,143.364,25.8,133.9,5.18992248062016,10.3000001907349,2801,16.3041667938232,2066,"WOLA","HL","HORT","LIVESTOCK"
-3.671,138.647,26.1,200,7.66283524904215,13.3000001907349,2543,18.9833335876465,1500,"DANI(BOKONDINI)","AL","AGG","LIVESTOCK"
-3.529,142.109,26.9,202,7.5092936802974,20.7000007629395,2469,25.0541667938232,314,"AU","SH-H","HORT","HUNTING"
-5.57,144.101,28.4,350,12.3239436619718,12.5,2624,18.5,1673,"ENGA(RAIAPU SAKA","AL","AGG","LIVESTOCK"
-6.044,145.383,28.6,272.939686663418,10.7845775416252,13,1984,19.4874992370605,1631,"GAHUKU GAMA","HL","HORT","LIVESTOCK"
-6.512,145.596,29.4,256,8.70748299319728,11.1999998092651,2212,17.6916675567627,1883,"FORE (NORTH)","HL","HORT","LIVESTOCK"
-5.722,144.799,29.6,151,5.10135135135135,11.6000003814697,2581,17.3291664123535,1830,"WAHGI (NORTH","AL","AGG","LIVESTOCK"
-3.53,142.877,29.7,254,8.55218855218855,20,1888,25.1458339691162,350,"WAM","HH","HORT","HUNTING"
-4.862,140.604,29.8,85,2.85234899328859,13.6999998092651,4694,18.8083324432373,1584,"NGALUM","HL","HORT","LIVESTOCK"
-5.686,145.174,30.3,447,14.7524752475248,14.6999998092651,2874,20.4208335876465,1234,"GENDE","H-HL","HORT","LIVESTOCK"
-6.343,143.934,30.8,162,5.25974025974026,10.8999996185303,3398,17.2958335876465,1911,"KEWA(EAST)","AL","AGG","LIVESTOCK"
-6.351,144.216,32.1,416.7,12.981308411215,12.6000003814697,3198,19.3500003814697,1390,"WIRU","H-HL","HORT","LIVESTOCK"
-6.241,143.583,32.7,245.391789710317,7.65423738487385,10.3000001907349,2946,16.6958332061768,2014,"ANGANEN","AL","AGG","LIVESTOCK"
